Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
22,1787833,5800,50,164911
53,1750457,8852,114,136737
85,1714835,11683,157,115696
74,1723650,13316,122,115696
18,1788588,5800,50,182633
82,1714680,12737,187,115696
40,1767313,6456,113,147193
30,1774933,5800,57,166655
47,1740417,6401,61,135025
15,1788151,5800,50,183555
33,1768765,6458,72,159119
58,1736411,7991,140,130796
42,1753440,5800,103,152403
73,1730743,10150,146,118865
15,1778871,5800,51,179654
55,1751290,9159,111,137881
53,1746051,6464,120,142428
66,1736066,11641,135,132904
44,1761618,5986,103,153469
76,1725094,13349,137,115696
62,1735026,7973,121,128077
43,1754428,5800,94,141013
61,1730585,9425,131,125445
37,1756511,8776,96,158310
66,1734111,6844,134,123251
21,1784483,5800,50,165012
58,1745749,9177,123,135591
41,1755199,6097,101,149833
78,1721400,12466,164,115696
60,1736021,8417,93,141700
61,1741582,9408,126,125046
33,1769945,5800,57,163040
59,1736356,8055,104,128732
52,1744148,6123,63,140017
38,1768955,5800,78,141982
26,1781319,5800,98,179345
66,1734080,7332,144,122318
51,1735823,7786,90,136118
61,1736800,9413,121,130199
47,1754861,8736,117,144237
33,1768484,5800,50,158147
54,1751284,9612,89,142656
23,1780020,5800,50,168944
33,1767853,5800,57,160538
30,1769858,5800,98,149888
59,1747028,9924,135,135626
48,1750067,8108,106,149355
15,1773115,5800,50,181654
73,1731294,9897,150,115696
83,1714336,11166,196,115696
34,1766628,5800,52,149811
49,1749740,8159,92,152375
19,1782085,5800,50,171336
84,1715034,13540,168,115696
30,1759367,5800,50,165215
59,1740488,10756,119,143542
66,1741944,11945,134,118639
20,1776284,5800,50,171977
62,1747489,9796,132,139404
80,1720409,12287,143,115696
53,1751840,8286,122,140565
52,1749964,7182,111,140129
65,1729995,9234,118,129952
24,1768102,5800,50,159720
15,1782226,5800,50,176624
72,1732759,11439,178,121331
15,1778308,5800,50,172349
27,1766830,5800,50,167665
66,1732322,8854,123,125585
37,1762948,6019,50,148904
55,1745324,7680,126,130959
15,1787852,5800,50,173820
15,1795095,5800,50,177390
49,1744517,7146,75,149337
52,1743867,8239,111,149350
56,1741757,9530,115,141461
15,1797585,5800,50,177064
59,1750325,10298,113,130262
53,1741989,6391,107,136040
60,1741481,9419,111,127439
90,1706613,13372,183,115696
67,1732066,8522,130,122825
83,1726466,13374,154,115696
82,1721840,13131,161,115696
78,1722296,12238,151,115696
42,1757031,6169,84,157199
50,1749343,7357,118,139183
39,1765350,6639,50,146250
18,1783504,5800,53,173525
57,1736468,7794,93,126670
63,1747605,7287,111,128392
69,1736986,12220,92,124968
58,1740635,9917,125,143306
56,1745962,9010,104,132759
63,1734268,7764,163,126968
56,1740856,7798,122,131424
22,1777551,5800,58,172125
35,1773604,5935,73,157130
47,1754982,7817,126,144338
28,1766399,5800,85,167724
39,1753765,6137,93,148296
81,1722571,12955,126,115696
41,1759041,7461,79,151635
64,1737632,8530,105,133027
69,1734986,10230,162,121235
84,1710508,13342,151,115696
47,1759186,5800,82,142823
39,1755776,5800,61,153827
71,1727521,11301,107,124528
48,1750382,7639,120,138824
54,1751077,7930,108,134555
73,1715599,11194,144,130176
34,1763026,5800,70,153957
45,1745160,7317,95,150516
50,1749665,7655,94,142972
35,1764444,5800,62,157106
15,1787683,5800,50,176863
46,1744703,6038,79,153935
59,1742235,8328,102,129821
60,1734196,8549,118,131807
26,1772117,5800,50,160098
27,1768318,5800,58,160437
53,1747811,6120,118,141158
52,1746933,7233,128,133065
59,1734766,9961,126,140150
72,1726416,10188,97,117478
58,1734103,6509,88,131002
47,1749070,8219,78,141046
46,1750208,6202,78,142071
15,1791553,5800,50,184166
71,1737619,10624,189,116980
34,1764749,6397,80,154217
41,1759552,5800,111,147788
72,1732884,10736,145,115696
102,1703751,14765,181,115696
15,1791027,5800,79,174911
66,1736661,9921,109,124272
88,1706238,13208,174,115696
51,1751072,8031,117,144576
56,1744361,8006,84,142047
52,1748558,7939,122,134283
25,1778433,5800,50,165079
77,1718876,11767,169,117463
51,1753139,8903,125,141493
57,1737356,8924,116,127418
60,1739773,8208,152,139102
26,1764565,5800,50,171030
62,1740400,9215,146,129946
31,1767535,5800,52,154253
22,1784355,5800,50,170475
48,1748525,7867,79,145647
31,1771156,5800,78,164631
55,1742137,10290,116,130436
42,1759240,6499,50,145886
67,1734859,9213,131,119227
24,1782185,5800,50,167347
56,1747568,8210,98,127022
71,1734142,11239,130,119758
58,1736750,8493,103,132268
20,1786310,5800,50,173004
50,1754167,9743,104,144453
31,1779235,5800,66,160758
42,1760814,5800,76,149605
71,1733927,11891,138,125534
39,1765272,6925,83,154582
55,1744346,6494,106,133201
64,1729741,8662,138,132840
61,1740327,9308,132,133721
49,1750230,7072,78,146427
30,1771198,5800,68,162973
32,1756607,5800,80,156472
47,1757337,8066,55,143932
37,1763692,5800,57,150181
29,1766721,5800,77,162981
49,1746419,7547,139,146159
64,1742625,9949,106,129314
26,1775483,5800,54,167019
51,1747910,6681,108,139298
37,1774905,5800,69,157698
67,1730332,7420,137,126839
48,1757753,6872,136,145121
15,1792391,5800,50,181580
30,1766230,6182,50,154588
23,1775465,5800,57,175009
34,1771715,5800,78,153589
74,1731193,10684,159,120882
67,1738404,10421,130,129443
71,1730657,9588,157,129955
70,1728902,12048,159,120076
68,1725691,9717,114,122544
23,1779399,5800,59,169736
25,1769227,5800,86,170715
41,1761832,6020,57,148745
43,1751495,7357,72,147710
63,1737249,10122,130,125051
33,1766470,7472,50,158578
51,1752160,6334,69,144008
52,1745813,6203,85,145145
39,1755586,5800,79,146865
39,1767311,6172,50,146154
64,1734453,8150,149,122431
38,1765511,5800,116,154240
32,1772861,5800,105,171632
53,1758004,6817,107,143769
49,1745539,7072,77,136887
68,1729879,8640,126,124148
24,1778514,5800,57,170412
44,1761026,8025,86,147104
31,1773603,5800,73,165982
64,1737511,11673,142,132914
37,1765355,5968,70,148154
29,1775320,5800,50,161440
65,1735740,9045,153,121570
20,1784153,5800,50,176765
51,1744076,6145,104,134344
34,1763766,5800,56,153239
97,1691711,14493,200,115696
35,1767788,5884,69,157230
15,1789720,5800,60,174196
79,1723970,10557,171,115696
61,1739023,10305,156,133194
100,1706791,15793,200,115696
46,1756647,7612,98,137660
15,1778575,5800,50,173365
40,1765101,5800,109,144694
47,1751236,5800,69,141303
15,1787888,5800,50,170549
48,1744599,7326,92,149828
77,1724741,13366,165,115696
74,1728735,10456,154,122923
30,1774156,5800,58,170363
41,1761873,7138,50,150619
60,1744463,9509,127,141910
32,1768503,5800,74,169384
36,1756397,5800,50,158919
74,1726029,11588,154,115696
58,1738063,8444,114,140187
44,1758473,6426,92,149647
54,1743238,7332,74,140669
15,1789119,5800,50,175953
41,1757130,6872,76,150523
49,1752490,7990,83,135572
70,1734586,10910,159,116231
59,1741257,9257,120,134808
42,1761680,5800,99,147883
50,1745257,9498,101,142032
59,1737797,8405,139,144453
45,1749556,8980,100,143834
28,1769442,5800,50,160139
33,1766347,5800,57,162459
64,1737781,9109,126,119515
36,1765106,6524,75,158772
67,1734328,8873,126,134205
66,1739790,9723,120,124855
45,1751632,7396,99,144945
46,1760782,6107,94,141114
40,1767451,7300,76,159513
49,1749295,5800,100,146368
43,1765361,6461,67,154353
49,1761525,7555,55,136448
59,1741846,8017,109,139035
46,1750968,6397,69,154271
16,1787148,5800,50,166936
47,1744406,6573,71,132375
95,1709259,15656,200,115696
67,1728540,11870,136,123983
74,1729271,12707,121,119167
43,1756875,5800,85,149902
61,1738796,10308,150,125388
58,1740779,8530,90,135943
61,1735450,8617,127,137872
50,1746988,8246,82,134370
71,1728482,9998,170,118092
46,1757195,6300,98,140901
54,1742263,9016,103,134304
43,1760072,6500,72,155635
47,1757533,8874,80,143498
22,1782369,5800,50,159210
23,1775089,5800,50,171203
27,1774016,5800,62,161636
40,1755236,7714,87,149213
91,1701668,12290,181,115696
81,1715470,12027,159,115696
36,1767119,6500,50,153016
41,1756718,5800,64,150779
17,1787122,5800,54,169793
69,1730002,8546,149,121860
33,1760205,5800,74,165118
16,1785271,5800,53,173367
20,1793932,5800,50,171087
43,1755468,5800,121,154954
54,1738056,6442,122,140929
38,1765955,6050,78,153359
47,1747097,6979,97,144098
30,1773716,5800,66,161135
27,1766659,5800,69,161085
18,1778757,5800,71,178998
38,1756480,5800,50,151385
45,1758637,8039,99,143585
63,1737483,7004,145,119525
83,1709668,12272,148,115696
58,1737382,8815,88,130017
53,1737457,8935,101,132515
20,1789332,5800,50,174560
77,1715266,12235,140,124997
36,1770957,6673,50,156730
56,1741377,8393,97,128883
76,1724151,12685,151,115696
51,1742750,8283,125,137598
86,1710607,11858,138,115696
70,1721646,9428,165,116307
66,1741033,9600,142,131270
86,1704746,14363,163,115696
39,1762491,5985,102,156967
76,1726904,12095,175,120960
39,1767157,7232,50,144866
32,1761006,5800,51,146967
48,1746424,7252,86,146990
66,1735318,9724,160,124096
55,1746182,6581,93,139505
58,1737286,7643,107,130471
68,1729963,9346,100,118734
36,1757950,5800,113,159430
46,1748410,7414,90,149181
57,1739693,9941,99,136183
36,1770772,6464,96,152045
30,1775243,5800,62,165464
45,1751569,6819,81,152760
61,1740293,8564,133,130394
18,1785309,5800,50,178314
58,1740131,8132,121,129855
84,1726704,11479,193,115696
46,1754641,8227,87,145591
42,1758877,5800,66,152962
59,1737791,9186,159,133817
57,1745329,9541,102,133385
45,1752856,5928,105,136966
40,1762378,5800,117,142711
33,1771268,5800,50,161523
55,1743539,7566,103,142291
80,1716828,11611,155,115696
94,1696837,13414,188,115696
35,1767538,5800,81,159600
72,1722209,11115,121,122058
42,1758003,6136,77,145601
48,1746776,7725,97,141429
38,1754363,5879,69,157717
65,1733695,10849,127,130427
38,1759120,5800,79,160083
45,1761632,6371,103,151609
88,1709454,11987,170,115696
50,1751937,8264,111,139147
15,1780398,5800,50,177745
78,1726758,11066,179,118080
62,1741572,10258,125,119129
51,1737079,8098,81,141133
20,1785484,5800,50,168585
65,1738197,9963,123,127153
54,1739107,9278,99,141596
41,1758932,6958,91,156024
28,1769681,5800,52,157479
49,1751200,7441,66,144635
69,1730930,10355,117,120214
40,1759832,5800,81,162469
43,1753197,5800,99,143026
63,1740446,11352,144,119625
87,1710767,13738,178,115696
69,1732481,10765,137,119367
37,1763947,5906,92,152722
49,1751271,7376,119,149256
78,1722947,12623,162,115696
29,1774473,5800,50,169243
25,1782436,5800,50,166003
32,1766643,5800,72,169442
78,1727205,13802,157,117060
63,1738447,8171,132,129602
56,1735844,8101,129,135085
49,1750705,6661,87,143945
43,1760095,5800,111,140156
61,1733101,9462,131,135717
41,1767717,5800,88,149264
20,1785467,5800,65,176311
52,1749617,8004,93,130499
47,1755826,5934,98,146553
29,1772067,5800,50,164498
43,1758322,7719,86,151743
58,1743841,8971,108,140020
28,1771650,5800,50,171746
25,1777496,5800,65,170722
69,1737798,11022,159,124087
26,1767495,5800,68,163713
35,1767753,6452,70,165766
96,1707670,14355,200,115696
73,1727878,12376,140,118238
42,1766102,5800,50,145272
62,1738836,8756,116,133732
53,1745321,7468,83,137788
67,1733635,10513,116,115696
49,1749170,8631,108,139119
64,1740073,9877,114,127533
31,1768800,5800,92,161413
77,1718368,12775,164,115696
45,1755727,8345,108,136988
72,1729685,11620,121,117502
15,1788485,5800,50,178374
80,1721112,10315,141,115696
66,1732537,11318,122,132728
28,1763484,5800,50,162155
74,1728848,9345,129,124286
50,1756168,7742,105,142605
44,1762841,5831,54,149526
15,1784708,5800,50,179969
57,1736410,6733,121,141093
46,1749495,7606,79,149720
35,1766147,5800,57,154421
61,1735174,10654,91,130424
25,1777940,5800,52,163622
56,1749351,9781,126,133929
42,1768468,5804,117,150767
24,1777270,5800,50,164161
54,1741667,7149,138,130896
55,1744449,7167,146,137625
47,1762766,7314,70,154520
64,1740983,9156,133,127040
15,1788978,5800,50,175644
55,1741499,9148,97,143084
37,1756173,6213,99,153813
15,1786287,5800,50,182058
42,1753812,5995,66,152004
49,1747460,6591,79,145193
40,1760765,5800,50,156054
57,1745250,8916,77,137446
93,1701211,13366,158,115696
16,1778217,5800,50,175872
72,1730633,11361,172,115696
72,1737174,11809,155,126245
26,1774031,5800,50,170674
63,1740200,8081,131,126359
17,1780441,5800,50,178595
52,1747778,7912,115,141366
34,1765354,5800,77,152645
77,1728107,11587,124,126383
59,1735022,8090,152,128553
30,1761821,5800,50,164308
67,1720824,9840,105,124701
29,1762696,5800,85,151983
20,1781218,5800,59,181903
26,1771805,5800,76,165068
37,1763482,5800,53,158653
33,1762372,5800,75,155762
81,1715135,12948,156,116724
47,1747454,6516,68,137834
57,1737943,8688,124,129128
75,1728480,10793,159,118179
56,1748398,7821,117,148806
34,1771502,5800,50,148337
84,1720422,12946,141,122957
46,1762836,9380,50,154610
60,1741640,8320,106,134393
60,1748085,7969,105,122415
86,1711099,12366,198,115696
65,1737943,8082,123,120588
35,1767232,7153,70,147320
56,1738827,6929,97,145131
21,1779219,5800,50,173439
30,1767497,5800,81,156283
35,1762086,5800,67,157604
55,1736985,8396,130,138948
91,1712095,14103,121,115696
52,1753998,7214,94,149442
60,1745758,10055,151,137885
71,1724600,12166,172,123307
15,1782985,5800,50,173266
65,1731479,9933,86,119885
78,1728714,11782,145,118601
35,1765703,6034,56,162223
32,1772155,5944,50,155164
68,1735627,10139,135,115696
31,1771519,6403,64,168339
40,1759053,6161,86,148383
15,1783836,5800,50,179846
22,1781823,5800,50,165835
24,1779795,5800,50,169958
40,1765436,5800,84,149837
70,1728182,11547,124,124832
38,1765729,5800,50,155300
46,1753435,7743,87,144264
65,1734047,9972,115,133229
56,1750782,7002,120,142934
48,1755701,8440,115,148420
25,1781314,5800,50,166946
72,1734148,10929,160,119166
57,1742190,8709,118,138669
58,1749248,7362,156,140420
69,1732663,10495,127,121665
56,1748166,9265,103,136828
51,1741402,6471,95,145203
61,1735202,7953,154,140824
51,1746802,7880,88,141089
56,1744430,8205,134,143802
65,1725186,9401,130,120625
78,1721050,12840,181,115696
58,1746575,9273,90,133747
78,1726004,10210,147,115696
59,1740968,11466,123,131305
15,1786512,5800,50,173212
60,1744650,8493,135,140492
29,1764981,5800,76,171408
45,1745174,6476,97,145467
99,1704003,13292,200,115696
20,1781675,5800,50,171818
57,1740666,8543,99,132042
47,1759222,6338,85,139930
33,1758952,5800,79,162003
51,1749301,7457,71,142962
35,1765865,5800,97,157483
61,1737844,6905,141,131768
28,1771530,6054,57,160487
63,1727567,8273,100,135067
50,1756119,9555,97,140965
31,1775286,5800,58,162091
31,1771178,6107,73,151759
20,1782399,5800,53,173057
15,1772361,5800,50,180943
48,1755059,6616,100,142565
34,1765038,6381,50,160816
42,1753547,5913,79,156697
25,1763261,5800,50,165186
37,1760384,5800,107,155107
60,1733019,7979,125,126355
49,1751115,5800,97,139957
15,1776478,5800,50,175023
53,1734820,7446,101,142329
15,1789277,5800,50,173259
17,1784537,5800,50,181168
22,1776491,5800,50,173964
61,1738797,8219,131,128262
52,1739108,8282,128,132680
15,1784829,5800,50,171558
15,1776707,5800,50,169682
83,1712632,11330,158,115696
28,1760933,5800,51,170833
71,1730865,9861,136,115696
29,1773518,5800,58,155368
55,1738667,7363,114,134810
57,1739720,9493,122,138659
85,1713664,13469,200,115696
23,1776522,5800,50,169097
55,1749225,6221,112,143623
15,1791021,5800,50,173675
61,1734720,10427,116,137337
66,1731223,9419,116,134289
49,1755059,7023,98,141810
72,1731230,11200,140,118863
44,1765460,6872,68,138759
59,1750367,7731,126,139536
47,1752902,6890,72,146564
37,1761085,5800,85,151559
48,1751245,8847,85,134813
33,1758242,5800,101,158191
70,1727365,11576,148,128280
79,1716698,11610,169,115696
68,1732277,10588,133,125045
57,1740704,6818,122,134999
34,1756998,5800,98,160490
63,1731337,8652,108,121967
22,1774832,5800,74,176231
33,1764111,5800,78,161767
54,1740203,9529,105,143154
60,1741335,9169,120,138002
85,1715971,12848,162,115696
75,1725192,10752,152,122149
40,1763895,6339,79,159790
26,1777804,5800,50,168869
31,1774049,5800,87,158872
50,1747183,7251,127,138497
23,1774960,5800,79,176584
29,1765196,5800,80,164745
46,1759744,8252,69,139072
42,1756996,5800,100,148697
59,1735069,8825,121,131124
47,1756448,5800,89,142546
87,1712205,14981,182,115696
45,1748205,7434,90,148146
50,1748009,5800,98,148212
79,1716303,12878,179,115696
32,1774153,5800,51,158326
32,1761483,5800,50,162607
32,1766346,5800,50,167841
34,1768328,5800,59,160010
67,1733991,9284,113,127251
41,1760027,6109,85,146053
26,1776456,5800,50,158665
81,1713511,12722,177,115696
71,1727698,10716,152,121359
54,1745047,8241,92,137170
59,1736547,8643,114,141422
81,1718398,13679,159,115696
65,1740549,9860,147,131431
23,1787316,5800,50,164171
84,1721305,13194,159,115696
37,1763612,5800,51,151240
24,1779888,5800,50,155901
15,1780836,5800,50,176711
67,1730255,8522,170,125145
56,1746965,7905,136,137975
55,1743610,7515,109,131885
51,1746557,9906,78,140282
64,1727067,10128,152,129428
34,1763261,5800,88,157918
85,1719727,13903,177,115696
17,1787760,5800,50,177862
61,1735268,11057,102,126364
77,1725464,12502,171,115696
47,1753838,7384,90,144865
34,1769778,5800,72,158535
16,1777928,5800,50,174732
74,1730271,11584,153,117290
76,1727435,9865,144,117717
39,1763583,5800,75,152097
56,1744056,8190,128,138025
54,1739398,6743,126,125925
46,1751473,5885,93,133797
15,1788881,5800,50,175513
36,1768870,5800,79,154994
49,1748318,8025,107,142683
76,1725344,12656,149,126829
54,1744749,7058,108,128046
95,1707863,15007,188,115696
30,1770458,6023,50,170815
47,1751396,7812,99,149876
58,1746398,7894,127,128946
86,1712468,12803,180,115696
46,1765102,7477,74,147785
61,1734373,10503,141,131379
49,1753122,8155,99,139722
39,1764477,5800,50,152088
29,1763706,5800,60,160222
48,1756393,7772,84,142802
70,1727878,11853,105,119390
41,1761129,6150,54,146377
39,1762255,5800,85,154005
18,1780914,5800,50,182926
48,1754114,7713,109,142881
38,1748683,5800,103,153367
60,1745375,7962,82,139002
66,1736975,9113,138,120917
43,1756276,6552,69,142995
60,1741836,8644,105,124968
102,1694950,14874,200,115696
45,1763709,5839,103,150532
63,1734616,9219,107,130149
52,1743952,8348,92,143749
65,1726617,9737,133,131081
61,1742089,9293,121,135244
69,1724767,12459,133,125664
28,1769807,5800,57,160776
36,1763163,5800,65,159217
62,1738097,10498,139,129098
54,1747558,8345,107,140270
46,1761077,7343,106,147602
26,1772247,5800,50,168150
30,1776089,6485,52,156618
43,1759590,5800,87,154182
38,1759864,5876,60,153729
68,1734068,10337,106,121629
21,1780532,5800,50,171146
47,1749843,6725,70,147279
98,1701946,16044,200,115696
58,1740213,8897,139,139904
61,1748830,9290,146,117971
29,1776075,5800,89,168305
15,1792236,5800,50,176546
38,1757754,6514,66,157775
15,1781980,5800,50,169860
52,1746084,7460,95,132136
54,1748383,8351,121,132048
24,1781302,5800,50,167926
61,1742547,10775,140,133200
34,1772024,5800,66,151198
43,1761855,6910,103,150451
38,1763442,7238,94,151180
51,1752983,6555,97,139236
76,1722691,11352,165,118948
63,1734171,10436,99,131698
58,1741231,9542,121,132254
85,1720949,12383,175,115696
78,1721716,12216,134,115696
47,1751557,5800,108,141429
79,1708005,12501,178,115696
65,1737915,9258,135,124152
59,1736008,8308,128,142890
36,1770809,5800,79,158029
15,1785027,5800,50,175821
73,1738425,10893,139,116449
67,1735238,8136,159,129200
46,1749390,5800,92,153605
15,1787359,5800,50,173849
44,1746719,5800,103,158266
52,1751237,5986,89,146793
61,1743564,9120,99,136948
34,1761954,5800,65,154140
53,1746635,8879,105,137511
72,1727564,10151,151,126612
33,1771054,5800,83,161602
70,1720693,10626,137,121557
71,1729244,10646,164,119998
29,1772451,5892,50,158784
58,1742082,8849,154,132007
15,1786844,5800,50,173608
37,1763628,5800,80,153480
21,1780357,5800,50,177053
36,1765976,6403,64,157419
20,1777949,5800,50,175257
76,1734353,10748,132,115696
55,1741648,7970,66,138368
51,1756667,9025,109,140602
50,1752349,6910,109,133955
53,1748423,7009,93,140093
64,1738636,10819,139,121609
24,1769829,5800,50,168230
45,1758438,5800,105,151122
61,1741184,9549,118,128031
49,1750496,6283,104,136727
43,1749648,6474,105,154351
59,1739823,8822,131,138937
42,1759213,6065,80,153354
51,1750231,6863,74,140015
39,1766220,5800,52,149405
70,1733351,11811,162,119836
61,1746577,9452,92,130040
77,1724747,11702,175,117247
81,1719060,11493,174,115696
42,1758062,5800,90,158491
42,1761660,6852,101,147578
37,1770220,5800,85,150223
70,1738130,10026,147,124275
17,1784896,5800,50,171056
71,1737359,9806,139,123893
73,1721626,9601,132,115696
65,1743858,9714,131,130390
24,1781174,5800,50,180046
44,1755088,5948,103,149321
47,1747004,8601,58,142645
38,1765308,5800,82,156132
45,1763334,5962,85,156795
16,1781681,5800,50,168611
69,1723880,10267,98,120878
36,1768077,6291,50,149150
43,1760161,6633,69,149763
54,1741357,8042,140,139267
74,1730287,12310,166,122282
46,1760940,5840,127,143807
55,1746664,9171,84,136791
17,1777251,5800,50,178758
15,1779893,5800,50,175173
51,1753019,7981,122,142931
83,1727105,10156,157,115696
53,1743665,6564,100,133840
33,1770031,5800,61,165009
34,1771381,5800,50,156769
48,1753642,8796,78,146675
39,1764610,6606,95,154537
77,1721822,12041,191,115696
66,1727681,10597,138,126974
15,1781863,5800,50,182407
28,1771533,5800,50,165616
86,1715551,14193,172,115696
39,1769845,5800,57,152263
66,1746273,10242,128,129236
36,1768216,5800,50,152315
24,1768262,5800,50,166808
63,1739250,9549,128,128568
26,1777581,5800,59,172604
33,1763701,6674,87,151256
64,1737872,8800,138,133113
41,1765611,6740,79,158079
65,1736444,9558,101,132623
17,1779405,5800,50,170854
76,1720344,11275,145,115696
20,1777998,5800,50,179155
57,1743479,8214,114,125275
55,1744753,9741,87,139494
55,1751850,8003,110,129627
58,1740664,9199,101,142493
39,1757072,6279,56,157646
19,1778306,5800,50,173170
21,1782742,5800,50,176229
49,1759409,7515,93,144523
62,1737252,10896,124,123874
43,1753522,7115,81,147306
47,1744966,7407,111,149174
67,1735609,9342,146,121469
23,1776131,5800,50,175516
53,1742690,7224,87,139806
48,1756783,9555,105,139695
16,1774859,5800,50,177093
56,1750650,8997,108,124579
69,1724400,9687,136,119979
52,1748295,7730,109,149912
30,1766250,5800,79,162403
51,1755473,10079,101,137504
27,1777037,5800,89,169321
71,1738674,11366,145,122162
60,1737581,9813,153,145393
46,1754673,8181,88,148276
64,1736525,11920,78,125857
47,1757628,7074,99,155697
40,1761436,6764,90,151917
58,1741036,9599,162,131372
72,1721359,10449,141,116349
27,1765280,5800,50,171339
69,1735427,9922,103,124914
66,1736695,7833,102,121580
32,1772247,5800,50,163370
38,1767238,5800,50,155980
66,1732553,10742,145,130496
51,1747892,8705,85,147031
39,1758611,5800,98,151222
19,1789494,5800,50,180266
43,1752329,5800,104,148683
23,1775161,6465,50,164292
102,1700130,16031,191,115696
24,1782340,5800,50,175148
39,1762272,5800,55,149556
40,1760581,5800,91,143901
45,1754103,7250,83,151460
31,1771814,5800,50,158771
57,1737898,9539,88,139319
57,1740287,10065,90,132759
71,1731181,11551,151,115696
36,1761695,5800,51,158406
38,1750886,5800,115,161461
38,1761479,5800,58,155396
48,1760932,7268,69,141939
18,1783624,5800,69,181134
62,1746109,8976,127,129866
28,1757519,5800,50,165468
75,1732589,10259,161,118500
76,1720269,13670,152,116364
56,1736676,8006,123,139200
40,1748789,5800,126,146942
64,1737052,8970,111,128038
59,1730000,9494,119,134239
31,1762346,5800,50,164141
70,1734994,11672,118,120904
37,1764827,5800,50,163961
54,1746058,8943,113,132707
67,1734473,9445,139,119667
15,1785211,5800,50,180061
57,1745836,10675,98,139209
45,1752235,7109,99,146448
70,1727810,9916,124,126538
59,1745314,9713,118,139534
36,1766096,5800,100,154667
72,1739955,10087,151,125167
21,1771530,5800,50,177449
67,1731990,10124,121,127593
36,1767068,5800,60,154690
73,1728117,11389,142,118773
18,1779653,5800,53,165438
21,1770064,5800,50,172661
72,1725615,11488,142,120909
67,1726947,9269,137,121469
63,1742182,9754,140,130482
90,1704938,14844,191,115696
67,1732126,9016,137,128819
43,1752250,7602,84,157745
69,1727523,9740,115,126602
15,1790213,5800,50,172444
34,1769056,5800,71,157732
32,1764249,5800,102,162268
44,1751888,7678,84,157863
92,1710727,13503,165,115696
92,1716984,14472,156,115696
83,1718450,12903,172,115696
60,1739178,10571,113,132881
64,1732750,8969,139,120930
27,1766600,5800,50,161738
42,1754411,7158,96,151261
71,1723033,10583,156,121099
57,1744153,8463,123,132542
54,1751037,7734,93,142477
64,1730895,8440,114,133621
41,1757603,5800,77,156493
17,1785739,5800,61,173294
52,1753946,5858,99,137755
76,1719713,11193,138,122016
51,1751060,7990,109,134377
51,1760173,6693,126,148248
75,1714096,9499,168,115696
66,1734014,9961,115,128880
54,1753396,9167,97,142445
27,1768753,5800,53,167879
35,1769579,5800,77,153410
55,1748244,6931,148,138507
78,1715808,11838,161,115696
66,1739255,10274,159,124427
15,1783636,5800,50,190671
57,1737652,9245,144,140221
93,1700276,13340,200,115696
28,1769259,5800,50,159336
47,1759088,6409,102,151916
75,1719541,11506,166,115696
86,1715584,12911,170,115696
57,1740926,7381,103,132699
72,1730012,9660,141,121807
62,1740794,9064,115,136094
60,1730186,8741,129,136439
49,1762081,6803,78,145335
32,1771681,5800,67,154253
74,1726630,9946,137,121065
47,1747805,6020,82,143691
54,1739038,7233,138,144211
33,1761066,5800,118,163586
55,1743351,8392,101,134675
50,1745964,5841,70,137466
19,1773335,5800,54,177617
47,1753271,7968,77,155014
69,1723582,10524,99,115696
64,1729609,10167,168,130996
27,1774644,5800,50,162751
32,1771825,5800,64,162031
64,1739077,10773,132,130613
49,1745424,9684,84,147010
51,1748973,7752,118,128917
38,1766430,5800,81,144405
40,1757765,5800,52,145658
25,1777068,5800,50,165931
52,1744114,9909,110,140799
64,1732341,7851,165,129961
76,1728100,12150,129,115696
47,1756378,5800,63,140220
15,1785535,5800,50,175973
43,1755763,5871,89,146273
60,1739512,9183,108,129702
41,1760122,7715,116,157445
38,1760293,6896,53,153797
27,1778959,5800,50,165684
40,1758397,6127,67,150272
58,1741496,7233,70,131438
44,1750608,6997,83,149013
22,1771948,5800,50,172443
54,1740707,7689,88,143562
17,1794102,5800,50,178948
63,1736077,10532,101,128407
15,1786083,5800,50,181920
90,1704804,12404,179,115696
35,1765069,6283,76,155588
64,1729718,10266,109,121311
73,1725779,11564,158,117362
63,1740759,10655,122,125489
95,1705307,13864,200,115696
47,1754152,8194,87,148868
39,1756479,6456,113,153275
52,1745735,8495,87,139328
36,1759165,5800,74,152737
54,1746472,7973,103,135227
55,1740441,6167,110,138133
40,1760393,7194,84,148221
59,1739969,9295,109,131185
48,1754682,6701,82,150038
37,1759311,5800,116,154008
32,1769542,5800,54,153856
90,1708825,12900,200,115696
28,1763996,5800,50,164726
71,1728378,11669,108,115696
52,1759245,8229,95,142090
16,1792457,5800,50,170770
29,1776368,5800,54,148783
28,1771374,5800,50,174497
44,1751148,6987,71,152200
56,1740521,7678,122,130745
43,1758076,6845,110,147453
85,1714565,13105,139,115696
66,1741390,10418,106,116185
72,1730219,10442,138,115696
21,1774963,5800,50,172681
84,1711937,12498,147,115696
75,1717207,11393,155,120492
56,1745413,8919,114,140511
34,1772658,5800,89,153793
79,1717636,12552,155,115696
66,1737153,9840,128,130015
28,1765780,5800,50,159276
52,1751166,6875,83,146553
65,1732596,10145,103,126171
63,1736720,7602,102,122257
68,1734547,11343,167,128785
73,1732037,10589,129,125285
57,1744250,7995,114,139040
53,1744760,6695,116,138443
57,1749240,7616,129,137503
15,1795226,5800,50,174553
55,1750341,7507,132,141726
35,1765039,5800,50,160023
72,1719873,11072,137,121830
